CODE_UIC,LIBELLE,,VOYAGEURS,COMMUNE,DEPARTEMEN,IDRESEAU,X_L93,Y_L93,X_WGS84,Y_WGS84,C_GEO,Geo Point,Gare,Typologie_de_la_gare,Segmentation_marketing,satisfaction_global,orientation_client,bien_etre_en_gare,confort_attente
87728501,St-Fons,,O,SAINT-FONS,RHONE,6460,844120.2665000036,6513487.8478000015,4.852454240622254,45.70575011194421,45.70575011194421, 4.852454240622254,,,,,,,
87751230,Château-Arnoux-St-Auban,,O,CHATEAU-ARNOUX-SAINT-AUBAN,ALPES-DE-HAUTE-PROVENCE,6376,940094.0782999992,6333671.9091,5.99738902632121,44.06103192413043,44.06103192413043, 5.99738902632121,,,,,,,
87586446,Trentels-Ladignac,,O,TRENTELS,LOT-ET-GARONNE,7034,531704.8077000007,6373800.723299999,0.885032688721147,44.442969849702706,44.442969849702706, 0.8850326887211468,,,,,,,
87745570,St-Cergues-les-Voirons,,N,SAINT-CERGUES,HAUTE-SAVOIE,6398,954523.5731000006,6575035.220899999,6.303318787769152,46.2272535831692,46.2272535831692, 6.303318787769152,,,,,,,
87191130,Uckange,,O,UCKANGE,MOSELLE,7052,929533.9403000027,6916125.244399998,6.156190363131994,49.30344104441216,49.30344104441216, 6.156190363131994,,,,,,,
87713263,Semur-en-Auxois,,N,SEMUR-EN-AUXOIS,COTE-D'OR,6811,801043.2994000018,6710619.0940999985,4.341946096567425,47.48820611970223,47.48820611970223, 4.341946096567425,,,,,,,
87718015,Besançon-Mouillère,,O,BESANCON,DOUBS,3201,929463.2210000008,6686655.203600001,6.034041759023006,47.24051893307606,47.24051893307606, 6.0340417590230055,,,,,,,
87214643,Mullerhof,,O,URMATT,BAS-RHIN,5716,1018289.6335999966,6833638.293499999,7.312616500561601,48.52473877313215,48.52473877313215, 7.312616500561601,,,,,,,
87286872,Baisieux,,O,BAISIEUX,NORD,3069,716637.811999999,7057978.5934999995,3.234698972261435,50.61859900486093,50.61859900486093, 3.234698972261435,,,,,,,
87734103,Pontmort,,O,CHAMBARON SUR MORGE,PUY-DE-DOME,6109,712404.8562999964,6537793.511300001,3.160108821953173,45.93973074577569,45.93973074577569, 3.1601088219531728,,,,,,,
87276220,Villiers-le-Bel-Gonesse-Arnouville,,O,ARNOUVILLE,VAL-D'OISE,7283,657344.7886999995,6877331.9344,2.417110370855272,48.994495033295564,48.994495033295564, 2.4171103708552715,,,,,,,
87171926,Champagne-Ardenne-TGV,,O,BEZANNES,MARNE,92610,772405.3835000023,6902105.835499998,3.993655995605394,49.21455924201552,49.21455924201552, 3.9936559956053936,,,,,,,
87381590,Mantes-Station,,O,MANTES-LA-JOLIE,YVELINES,5343,606005.8588000014,6876714.942299999,1.71578351799244,48.98348946229686,48.98348946229686, 1.7157835179924397,,,,,,,
87545350,St-Martin-d'Étampes,,O,ETAMPES,ESSONNE,6572,636772.8598999977,6814464.922699999,2.14530897698044,48.4273872831252,48.4273872831252, 2.1453089769804397,,,,,,,
87732156,Cusset,,N,CUSSET,ALLIER,3908,735348.702200003,6560010.976399999,3.457902251870886,46.13898730548321,46.13898730548321, 3.457902251870886,,,,,,,
87382002,Bécon-les-Bruyères,,O,COURBEVOIE,HAUTS-DE-SEINE,3149,646400.8172999993,6867489.261700001,2.268812548835781,48.90516953339948,48.90516953339948, 2.268812548835781,,,,,,,
87182592,Moosch,,O,MOOSCH,HAUT-RHIN,5667,1002764.8224999979,6758927.248,7.05076456902281,47.86083143899345,47.86083143899345, 7.05076456902281,,,,,,,
87141010,Jarville-la-Malgrange,,O,JARVILLE-LA-MALGRANGE,MEURTHE-ET-MOSELLE,4514,935790.322800003,6845874.476,6.202962761753174,48.66998760751356,48.66998760751356, 6.202962761753174,,,,,,,
87746768,Les Bossons,,O,CHAMONIX-MONT-BLANC,HAUTE-SAVOIE,5053,997511.1136000007,6541358.105500001,6.839176062505559,45.906801626204796,45.906801626204796, 6.839176062505559,,,,,,,
87212258,Geispolsheim,,O,GEISPOLSHEIM,BAS-RHIN,4278,1045771.7110999972,6834810.587200001,7.685083470275864,48.52118957771497,48.52118957771497, 7.685083470275864,,,,,,,
87481408,Vertou,,O,VERTOU,LOIRE-ATLANTIQUE,7178,361089.1328999996,6685808.9087000005,-1.477960707809942,47.18605510217721,47.18605510217721, -1.477960707809942,,,,,,,
87317362,Abbeville,,O,ABBEVILLE,SOMME,2789,615800.7912999988,7001035.3422,1.824299979139242,50.1019712052704,50.1019712052704, 1.8242999791392422,,,,,,,
87611822,Brax-Léguevin,,O,BRAX,HAUTE-GARONNE,3364,557672.1595999971,6281097.614500001,1.237247625236942,43.61463097496825,43.61463097496825, 1.2372476252369415,,,,,,,
87116301,Coulommiers,,O,COULOMMIERS,SEINE-ET-MARNE,3840,706019.8812000006,6856408.241099998,3.08196720068987,48.80771929181312,48.80771929181312, 3.0819672006898697,,,,,,,
87192005,Metz-Marchandises,,N,METZ,MOSELLE,5478,932454.6080000028,6893668.571400002,6.183863414579897,49.100659074501586,49.100659074501586, 6.183863414579897,,,,,,,
87396291,Montfort-le-Gesnois,,O,MONTFORT-LE-GESNOIS,SARTHE,5612,506763.19900000095,6774307.306000002,0.406533379951194,48.040585156941496,48.040585156941496, 0.40653337995119404,,,,,,,
87342030,Miraumont,,O,MIRAUMONT,SOMME,5525,681001.6018999964,6999746.9048999995,2.734761223883659,50.09574294466118,50.09574294466118, 2.7347612238836594,,,,,,,
87141341,Coussey,,N,COUSSEY,VOSGES,3860,898882.1001999974,6814610.9124,5.687579796656098,48.40132672222825,48.40132672222825, 5.687579796656098,,,,,,,
87281873,Magenta,,O,PARIS,PARIS,8481,652943.3401999995,6864670.966499999,2.358372303710827,48.880337247960775,48.880337247960775, 2.358372303710827,,,,,,,
87415158,Auffay,,O,VAL-DE-SCIE,SEINE-MARITIME,2989,562791.499300003,6959115.462400001,1.098440484692693,49.71619084676501,49.71619084676501, 1.0984404846926932,,,,,,,
87756338,Cros-de-Cagnes,,O,CAGNES-SUR-MER,ALPES-MARITIMES,3893,1036064.9111000001,6293477.5999,7.167135261292968,43.66051083800892,43.66051083800892, 7.167135261292968,,,,,,,
87694307,Montchanin,,O,MONTCHANIN,SAONE-ET-LOIRE,5594,813055.8051000014,6629868.3456999995,4.481330517947978,46.75939369432185,46.75939369432185, 4.481330517947978,,,,,,,
87576363,Luçay-le-Mâle,,O,LUCAY-LE-MALE,INDRE,5260,581459.8522000015,6671483.543200001,1.436029821249122,47.13305556489261,47.13305556489261, 1.436029821249122,,,,,,,
87755223,Bandol,,O,BANDOL,VAR,3077,923833.7168999985,6230702.079,5.749815526229215,43.140491048348736,43.140491048348736, 5.749815526229215,,,,,,,
87741231,Chamousset,,O,CHAMOUSSET,SAVOIE,3582,949978.2987999991,6500405.704100002,6.205101602032683,45.55748096061991,45.55748096061991, 6.205101602032683,,,,,,,
87574715,Selommes,,N,SELOMMES,LOIR-ET-CHER,9046,564635.9975999966,6740492.202199999,1.193306201849907,47.750884609578925,47.750884609578925, 1.1933062018499074,,,,,,,
87393660,Garnay,,N,GARNAY,EURE-ET-LOIR,8105,578287.6093000025,6846073.910500001,1.345943393170927,48.7033345172712,48.7033345172712, 1.3459433931709266,,,,,,,
87297291,Barenton-Bugny,,O,BARENTON-BUGNY,AISNE,3089,747416.496600002,6948133.288800001,3.655987974675679,49.63058522655168,49.63058522655168, 3.6559879746756785,,,,,,,
87175091,Joinville,,O,JOINVILLE,HAUTE-MARNE,4526,858546.7289000005,6818159.503199998,5.144114026022076,48.44433716708518,48.44433716708518, 5.144114026022076,,,,,,,
