"UIC","Gare","","Lundi","Mardi","Mercredi","Jeudi","Vendredi","Samedi","Dimanche_jours_feries ","","","","","","","","","",""
"271817","SECLIN","","7h00 - 12h30 / 13h30 - 15h00","7h00 - 12h30 / 13h30 - 15h00","7h00 - 12h30 / 13h30 - 15h00","7h00 - 12h30 / 13h30 - 15h00","7h00 - 12h30 / 13h30 - 15h00","9h00 - 12h00 / 13h00 - 17h00","-","","","","","","","","","",""
"345314","SOISSONS","","5h15 - 20h50","5h15 - 20h50","5h15 - 20h50","5h15 - 20h50","5h15 - 20h50","6h40 - 20h40","7h20 - 22h00","","","","","","","","","",""
"343103","SOMAIN","","6h00 - 20h00","6h00 - 20h00","6h00 - 20h00","6h00 - 20h00","6h00 - 20h00","9h00 - 12h00 / 13h00 - 17h00","-","","","","","","","","","",""
"286195","ST-AMAND-LES-EAUX","","6h00 - 20h00","6h00 - 20h00","6h00 - 20h00","6h00 - 20h00","6h00 - 20h00","9h00 - 12h00 / 13h00 - 17h00","-","","","","","","","","","",""
"313270","ST-ANDRE (Nord)","","9h00 - 12h00 / 13h00 - 17h00","9h00 - 12h00 / 13h00 - 17h00","9h00 - 12h00 / 13h00 - 17h00","9h00 - 12h00 / 13h00 - 17h00","9h00 - 12h00 / 13h00 - 17h00","-","-","","","","","","","","","",""
"276402","ST-JUST-EN-CHAUSSEE","","5h30 - 19h55","5h30 - 19h55","5h30 - 19h55","5h30 - 19h55","5h30 - 19h55","5h30 - 19h55","5h30 - 19h55","","","","","","","","","",""
"281444","ST-LEU-D'ESSERENT","","-","-","5h40 - 11h25","5h40 - 11h25","5h40 - 11h25","-","-","","","","","","","","","",""
"342337","ST-OMER","","6h00 - 20h00","6h00 - 20h00","6h00 - 20h00","6h00 - 20h00","6h00 - 20h00","6h00 - 20h00","9h00 - 20h00","","","","","","","","","",""
"296004","ST-POL-SUR-TERNOISE","","5h15 - 20h45","5h15 - 20h45","5h15 - 20h45","5h15 - 20h45","5h15 - 20h45","6h00 - 21h00","8h15 - 20h50","","","","","","","","","",""
"313080","ST-ROCH (Somme)","","5h10 - 20h30","5h10 - 20h30","5h10 - 20h30","5h10 - 20h30","5h10 - 20h30","6h00 - 20h25","8h40 - 10h15 / 12h45 - 14h00","","","","","","","","","",""
"313684","ST-SULPICE-AUTEUIL","","5h00 - 12h10","6h10 - 13h20","6h10 - 13h20","6h10 - 13h20","6h10 - 13h20","-","-","","","","","","","","","",""
"286625","TEMPLEUVE","","6h00 - 20h00","6h00 - 20h00","6h00 - 20h00","6h00 - 20h00,","6h00 - 20h00","9h00 - 12h00 / 13h00 - 17h00","-","","","","","","","","","",""
"296442","TERGNIER","","4h50 - 19h55","4h50 - 19h55","4h50 - 19h55","4h50 - 19h55","4h50 - 19h55","5h10 - 19h20","6h05 - 20h40","","","","","","","","","",""
"276741","THOUROTTE","","6h30 - 13h45","6h30 - 13h45","-","-","-","-","-","","","","","","","","","",""
"286542","TOURCOING","","4h50 - 0h30","4h50 - 0h30","4h50 - 0h30","4h50 - 0h30","4h50 - 0h30","4h50 - 0h30","4h50 - 0h30","","","","","","","","","",""
"343004","VALENCIENNES","","4h35 - 22h40","4h35 - 22h40","4h35 - 22h40","4h35 - 22h40","4h35 - 22h40","6h15 - 22h30","7h40 - 0h00","","","","","","","","","",""
"271734","VILLERS-COTTERÊTS","","5h25 - 20h08","6h02 - 20h23","6h02 - 20h23","6h02 - 20h23","6h02 - 20h23","10h00 - 17h13","11h30 - 18h45","","","","","","","","","",""
"286419","WAVRIN","","9h00 - 12h00 / 13h00 - 17h00","-","9h00 - 12h00 / 13h00 - 17h00","-","9h00 - 12h00 / 13h00 - 17h00","","-","","","","","","","","","",""
